Дата;Значение
18.01.2013; 15,28
17.01.2013; 15,32
16.01.2013; 14,40
15.01.2013; 13,93
14.01.2013; 14,04
13.01.2013; 13,92
12.01.2013; 13,92
11.01.2013; 14,04
10.01.2013; 13,94
09.01.2013; 13,62
08.01.2013; 13,52
07.01.2013; 13,23
06.01.2013; 13,13
05.01.2013; 13,11
04.01.2013; 13,23
03.01.2013; 13,21
02.01.2013; 13,22
01.01.2013; 13,20
31.12.2012; 13,28
30.12.2012; 13,19
29.12.2012; 13,15
28.12.2012; 13,18
27.12.2012; 13,09
26.12.2012; 13,10
25.12.2012; 13,11
24.12.2012; 13,13
23.12.2012; 13,07
22.12.2012; 13,16
21.12.2012; 13,19
20.12.2012; 13,18
19.12.2012; 13,07
18.12.2012; 13,00
17.12.2012; 13,25
16.12.2012; 13,50
15.12.2012; 13,35
14.12.2012; 13,30
13.12.2012; 13,40
12.12.2012; 13,45
11.12.2012; 13,39
10.12.2012; 13,25
09.12.2012; 13,09
08.12.2012; 13,10
07.12.2012; 13,20
06.12.2012; 13,18
05.12.2012; 13,10
04.12.2012; 13,15
03.12.2012; 12,34
02.12.2012; 12,24
01.12.2012; 12,30
30.11.2012; 12,26
29.11.2012; 12,15
28.11.2012; 12,07
27.11.2012; 12,00
26.11.2012; 11,89
25.11.2012; 12,25
24.11.2012; 12,20
23.11.2012; 12,10
22.11.2012; 12,03
21.11.2012; 11,61
20.11.2012; 11,60
19.11.2012; 11,59
18.11.2012; 11,56
17.11.2012; 11,46
16.11.2012; 11,49
15.11.2012; 10,85
14.11.2012; 10,74
13.11.2012; 10,66
12.11.2012; 10,75
11.11.2012; 10,52
10.11.2012; 10,66
09.11.2012; 10,59
08.11.2012; 10,55
07.11.2012; 10,76
06.11.2012; 10,65
05.11.2012; 10,50
04.11.2012; 10,35
03.11.2012; 10,35
02.11.2012; 10,26
01.11.2012; 10,70
31.10.2012; 11,03
30.10.2012; 10,49
29.10.2012; 10,44
28.10.2012; 10,35
27.10.2012; 10,00
26.10.2012; 9,79
25.10.2012; 10,23
24.10.2012; 11,40
23.10.2012; 11,46
22.10.2012; 11,19
21.10.2012; 11,35
20.10.2012; 11,50
19.10.2012; 11,50
18.10.2012; 11,61
17.10.2012; 11,58
16.10.2012; 11,75
15.10.2012; 11,55
14.10.2012; 11,58
13.10.2012; 11,70
12.10.2012; 11,92
11.10.2012; 11,86
10.10.2012; 11,91
09.10.2012; 11,97
08.10.2012; 11,70
07.10.2012; 11,80
06.10.2012; 12,39
05.10.2012; 12,55
04.10.2012; 12,60
03.10.2012; 12,55
02.10.2012; 12,30
01.10.2012; 11,95
30.09.2012; 12,16
29.09.2012; 12,17
28.09.2012; 12,15
27.09.2012; 12,18
26.09.2012; 12,03
25.09.2012; 11,85
24.09.2012; 11,78
23.09.2012; 11,92
22.09.2012; 11,98
21.09.2012; 12,20
20.09.2012; 12,36
19.09.2012; 12,35
18.09.2012; 11,95
17.09.2012; 11,65
16.09.2012; 11,65
15.09.2012; 11,50
14.09.2012; 11,60
13.09.2012; 11,19
12.09.2012; 11,28
11.09.2012; 11,01
10.09.2012; 10,96
09.09.2012; 10,82
08.09.2012; 11,01
07.09.2012; 11,00
06.09.2012; 11,08
05.09.2012; 10,82
04.09.2012; 10,29
03.09.2012; 10,43
02.09.2012; 10,19
01.09.2012; 9,95
31.08.2012; 10,00
30.08.2012; 10,82
29.08.2012; 10,70
28.08.2012; 10,80
27.08.2012; 10,90
26.08.2012; 10,56
25.08.2012; 10,58
24.08.2012; 10,71
23.08.2012; 9,81
22.08.2012; 9,82
21.08.2012; 9,85
20.08.2012; 9,70
19.08.2012; 7,85
18.08.2012; 11,30
17.08.2012; 11,49
16.08.2012; 13,30
15.08.2012; 13,10
14.08.2012; 12,04
13.08.2012; 11,75
12.08.2012; 11,41
11.08.2012; 11,28
10.08.2012; 11,28
09.08.2012; 11,00
08.08.2012; 10,82
07.08.2012; 10,74
06.08.2012; 10,69
05.08.2012; 10,34
04.08.2012; 10,58
03.08.2012; 10,68
02.08.2012; 10,20
01.08.2012; 9,35
31.07.2012; 9,15
30.07.2012; 8,85
29.07.2012; 8,58
28.07.2012; 8,61
27.07.2012; 8,73
26.07.2012; 8,70
25.07.2012; 8,51
24.07.2012; 8,44
23.07.2012; 8,49
22.07.2012; 8,10
21.07.2012; 8,42
20.07.2012; 8,41
19.07.2012; 9,04
18.07.2012; 8,90
17.07.2012; 8,45
16.07.2012; 8,08
15.07.2012; 7,41
14.07.2012; 7,49
13.07.2012; 7,41
12.07.2012; 7,50
11.07.2012; 7,02
10.07.2012; 7,00
09.07.2012; 6,60
08.07.2012; 6,64
07.07.2012; 6,62
06.07.2012; 6,50
05.07.2012; 6,54
04.07.2012; 6,40
03.07.2012; 6,40
02.07.2012; 6,61
01.07.2012; 6,60
30.06.2012; 6,60
29.06.2012; 6,60
28.06.2012; 6,46
27.06.2012; 6,55
26.06.2012; 6,25
25.06.2012; 6,19
24.06.2012; 6,20
23.06.2012; 6,25
22.06.2012; 6,46
21.06.2012; 6,55
20.06.2012; 6,60
19.06.2012; 6,27
18.06.2012; 6,23
17.06.2012; 6,10
16.06.2012; 6,26
15.06.2012; 6,50
14.06.2012; 5,85
13.06.2012; 5,70
12.06.2012; 5,52
11.06.2012; 5,60
10.06.2012; 5,30
09.06.2012; 5,49
08.06.2012; 5,56
07.06.2012; 5,47
06.06.2012; 5,33
05.06.2012; 5,29
04.06.2012; 5,12
03.06.2012; 5,10
02.06.2012; 5,09
01.06.2012; 5,15
31.05.2012; 5,05
30.05.2012; 5,02
29.05.2012; 5,01
28.05.2012; 5,01
27.05.2012; 5,00
26.05.2012; 4,99
25.05.2012; 5,01
24.05.2012; 5,03
23.05.2012; 4,97
22.05.2012; 4,98
21.05.2012; 4,98
20.05.2012; 4,99
19.05.2012; 5,01
18.05.2012; 4,99
17.05.2012; 5,00
16.05.2012; 4,98
15.05.2012; 4,89
14.05.2012; 4,90
13.05.2012; 4,84
12.05.2012; 4,82
11.05.2012; 4,80
10.05.2012; 4,88
09.05.2012; 4,92
08.05.2012; 4,92
07.05.2012; 4,97
06.05.2012; 4,96
05.05.2012; 4,90
04.05.2012; 4,96
03.05.2012; 5,00
02.05.2012; 4,96
01.05.2012; 4,84
30.04.2012; 4,92
29.04.2012; 4,82
28.04.2012; 4,94
27.04.2012; 5,00
26.04.2012; 5,00
25.04.2012; 5,08
24.04.2012; 5,00
23.04.2012; 5,08
22.04.2012; 5,06
21.04.2012; 5,15
20.04.2012; 5,35
19.04.2012; 4,99
18.04.2012; 5,12
17.04.2012; 4,92
16.04.2012; 4,87
15.04.2012; 4,87
14.04.2012; 4,81
13.04.2012; 4,80
12.04.2012; 4,70
11.04.2012; 4,79
10.04.2012; 4,66
09.04.2012; 4,59
08.04.2012; 4,55
07.04.2012; 4,49
06.04.2012; 4,80
05.04.2012; 4,80
04.04.2012; 4,78
03.04.2012; 4,81
02.04.2012; 4,81
01.04.2012; 4,55
31.03.2012; 4,56
30.03.2012; 4,65
29.03.2012; 4,50
28.03.2012; 4,50
27.03.2012; 4,50
26.03.2012; 4,39
25.03.2012; 4,30
24.03.2012; 4,46
23.03.2012; 4,42
22.03.2012; 4,52
21.03.2012; 4,59
20.03.2012; 4,70
19.03.2012; 4,64
18.03.2012; 4,92
17.03.2012; 5,04
16.03.2012; 4,92
15.03.2012; 4,79
14.03.2012; 4,90
13.03.2012; 4,72
12.03.2012; 4,41
11.03.2012; 4,50
10.03.2012; 4,46
09.03.2012; 4,47
08.03.2012; 4,63
07.03.2012; 4,52
06.03.2012; 4,50
05.03.2012; 4,50
04.03.2012; 4,45
